timeframe,date,open,high,low,close,volume,peak_or_valley,strength
1min,2023-07-19 20:31:00,29985.5,29985.6,29979.1,29981.1,0.72337448,valley,60.0
1min,2023-07-19 20:34:00,30011.6,30011.6,30011.5,30011.6,0.03314856,peak,240.0
1min,2023-07-19 20:40:00,30002.7,30002.8,29993.6,29993.6,0.39150991,valley,480.0
5min,2023-07-19 20:46:00,30015.4,30023.7,30015.4,30023.6,1.07556057,peak,960.0
1min,2023-07-19 20:54:00,29965.2,29980.7,29965.2,29978.2,1.39858429,valley,180.0
1min,2023-07-19 20:58:00,29965.0,29965.1,29947.0,29951.7,3.62513765,valley,240.0
1min,2023-07-19 21:00:00,29963.0,29963.7,29954.0,29963.7,1.02320284,peak,120.0
1min,2023-07-19 21:03:00,29943.8,29949.2,29914.4,29932.8,4.82647843,valley,120.0
1min,2023-07-19 21:05:00,29920.6,29928.6,29898.7,29916.8,3.95588899,valley,240.0
1min,2023-07-19 21:07:00,29922.1,29931.8,29922.1,29924.6,1.08578803,peak,180.0
1min,2023-07-19 21:10:00,29897.4,29911.3,29892.0,29898.1,11.9623867,valley,360.0
1min,2023-07-19 21:13:00,29925.4,29931.6,29915.8,29917.0,1.07203739,peak,360.0
15min,2023-07-19 21:20:00,29867.4,29867.5,29852.0,29852.1,2.88140681,valley,3000.0
1min,2023-07-19 21:21:00,29852.1,29884.1,29852.0,29879.2,1.88487838,peak,240.0
1min,2023-07-19 21:23:00,29863.7,29864.3,29858.2,29864.2,0.38000992,valley,120.0
1min,2023-07-19 21:28:00,29919.0,29927.7,29919.0,29925.5,2.31507185,peak,180.0
1min,2023-07-19 21:30:00,29924.3,29924.3,29914.6,29914.6,2.9548342,valley,180.0
1min,2023-07-19 21:31:00,29914.6,29946.5,29914.6,29943.9,2.67349602,peak,360.0
1min,2023-07-19 21:33:00,29941.4,29941.4,29936.4,29939.5,0.60291698,valley,120.0
1min,2023-07-19 21:34:00,29939.6,29942.1,29939.5,29942.0,0.40511167,peak,180.0
