timeframe,date,open,high,low,close,volume,peak_or_valley,strength
1min,2023-09-14 20:31:00,26620.3,26620.3,26618.7,26618.8,0.3954305,valley,60.0
1min,2023-09-14 20:32:00,26618.7,26624.1,26618.7,26621.5,0.17706333,peak,120.0
1min,2023-09-14 20:38:00,26605.3,26605.3,26601.1,26601.1,0.08730421,valley,360.0
1min,2023-09-14 20:41:00,26602.5,26608.3,26602.5,26608.3,0.13951885,peak,240.0
1min,2023-09-14 20:47:00,26577.6,26577.6,26573.5,26576.5,1.15602209,valley,120.0
1min,2023-09-14 20:50:00,26566.0,26577.0,26564.9,26576.9,4.88801242,peak,180.0
1min,2023-09-14 20:51:00,26576.9,26576.9,26562.2,26563.4,2.83907041,valley,120.0
1min,2023-09-14 20:53:00,26566.6,26566.6,26561.2,26564.1,1.1619581,valley,420.0
1min,2023-09-14 20:54:00,26564.1,26570.7,26564.1,26570.7,0.37122531,peak,180.0
1min,2023-09-14 20:55:00,26570.7,26570.7,26561.8,26564.0,3.56889793,valley,120.0
1min,2023-09-14 20:59:00,26572.2,26572.7,26566.4,26566.6,0.67937386,peak,180.0
15min,2023-09-14 21:00:00,26566.5,26566.5,26560.0,26563.3,2.74007226,valley,1800.0
1min,2023-09-14 21:05:00,26578.0,26614.1,26577.9,26610.4,7.64175684,valley,180.0
5min,2023-09-14 21:05:00,26578.0,26614.1,26577.9,26610.4,7.64175684,peak,900.0
1min,2023-09-14 21:09:00,26595.8,26603.0,26595.8,26602.9,0.53870669,peak,180.0
1min,2023-09-14 21:10:00,26602.9,26603.0,26594.9,26595.0,0.16260374,valley,300.0
1min,2023-09-14 21:12:00,26595.0,26609.7,26595.0,26607.3,0.77448817,peak,360.0
1min,2023-09-14 21:14:00,26607.2,26607.2,26598.1,26600.6,5.64722765,valley,120.0
1min,2023-09-14 21:16:00,26599.6,26599.7,26598.1,26598.2,0.15698771,valley,240.0
1min,2023-09-14 21:19:00,26605.3,26613.1,26605.0,26613.1,0.29758901,valley,120.0
15min,2023-09-14 21:20:00,26613.1,26615.8,26613.0,26615.7,0.969674,peak,2640.0
1min,2023-09-14 21:23:00,26604.7,26604.7,26600.1,26603.3,2.15551109,valley,360.0
1min,2023-09-14 21:25:00,26603.3,26606.1,26603.3,26605.9,0.76095116,peak,180.0
1min,2023-09-14 21:28:00,26600.2,26610.7,26600.2,26605.9,1.66744984,peak,360.0
1min,2023-09-14 21:36:00,26590.7,26590.7,26588.3,26588.4,0.13846584,valley,360.0
5min,2023-09-14 21:41:00,26595.2,26595.3,26592.9,26592.9,0.34564699,peak,600.0
1min,2023-09-14 21:44:00,26566.3,26566.3,26556.8,26556.9,11.41002478,valley,120.0
15min,2023-09-14 21:47:00,26537.3,26537.3,26471.3,26503.0,8.03887746,valley,4620.0
1min,2023-09-14 21:49:00,26536.3,26542.7,26508.3,26508.3,3.44431709,peak,180.0
1min,2023-09-14 21:53:00,26534.1,26535.4,26523.9,26525.0,4.06847273,peak,240.0
5min,2023-09-14 21:57:00,26497.6,26499.9,26497.3,26499.9,0.23378293,valley,600.0
5min,2023-09-14 22:00:00,26528.9,26548.2,26515.1,26516.7,4.0411968,peak,600.0
1min,2023-09-14 22:01:00,26513.9,26514.0,26512.3,26512.4,0.16004326,valley,180.0
1min,2023-09-14 22:04:00,26529.4,26529.6,26526.2,26526.3,0.10944003,peak,180.0
1min,2023-09-14 22:05:00,26526.3,26529.0,26525.6,26525.7,0.38910511,valley,120.0
1min,2023-09-14 22:08:00,26535.1,26538.8,26535.1,26538.7,0.48164363,peak,120.0
1min,2023-09-14 22:10:00,26538.3,26552.7,26538.3,26547.9,1.42038254,peak,180.0
1min,2023-09-14 22:12:00,26545.7,26548.1,26542.6,26548.1,0.47267623,valley,120.0
1min,2023-09-14 22:14:00,26559.5,26575.5,26556.3,26575.5,7.63321648,peak,180.0
1min,2023-09-14 22:16:00,26575.0,26575.0,26569.4,26574.3,0.65068667,valley,120.0
1min,2023-09-14 22:18:00,26578.9,26602.8,26578.9,26596.8,2.30546447,peak,240.0
5min,2023-09-14 22:24:00,26604.9,26617.9,26604.9,26617.8,0.73192647,peak,780.0
1min,2023-09-14 22:28:00,26601.4,26605.8,26601.4,26605.8,0.00378105,valley,360.0
1min,2023-09-14 22:30:00,26611.2,26612.8,26611.2,26612.8,0.09111983,peak,300.0
1min,2023-09-14 22:34:00,26610.9,26610.9,26602.8,26608.4,0.76865785,valley,360.0
1min,2023-09-14 22:36:00,26608.4,26615.8,26607.6,26615.8,0.88651951,valley,120.0
1min,2023-09-14 22:37:00,26615.8,26618.5,26615.7,26618.5,1.57703672,peak,120.0
15min,2023-09-14 22:39:00,26617.1,26623.8,26617.0,26619.5,1.53139093,peak,2160.0
1min,2023-09-14 22:41:00,26616.0,26616.1,26614.1,26614.2,0.18260551,valley,120.0
1min,2023-09-14 22:45:00,26613.1,26617.6,26613.0,26614.7,0.41252974,peak,300.0
5min,2023-09-14 22:46:00,26614.6,26614.6,26596.7,26598.7,0.78208054,valley,960.0
1min,2023-09-14 22:50:00,26605.2,26609.4,26605.1,26609.3,0.99734599,peak,180.0
5min,2023-09-14 22:55:00,26612.7,26622.0,26612.7,26616.2,1.22269994,peak,960.0
1min,2023-09-14 22:57:00,26615.7,26615.9,26615.7,26615.8,0.02094452,valley,120.0
1min,2023-09-14 23:01:00,26608.5,26608.5,26603.3,26603.3,0.15456359,peak,120.0
5min,2023-09-14 23:03:00,26582.7,26582.7,26582.6,26582.6,0.06000849,valley,1620.0
1min,2023-09-14 23:04:00,26582.6,26587.9,26582.6,26587.7,0.42002439,peak,120.0
1min,2023-09-14 23:07:00,26588.3,26596.4,26587.7,26594.4,0.90192851,peak,120.0
1min,2023-09-14 23:09:00,26596.2,26603.4,26596.2,26600.0,0.55582604,peak,120.0
1H,2023-09-14 23:15:00,26618.7,26624.1,26617.0,26621.1,1.48577322,peak,9900.0
1min,2023-09-14 23:15:00,26618.7,26624.1,26617.0,26621.1,1.48577322,valley,120.0
1min,2023-09-14 23:18:00,26623.2,26623.2,26619.3,26619.3,1.40418484,peak,180.0
1min,2023-09-14 23:21:00,26612.1,26612.1,26601.1,26601.1,0.40296378,valley,240.0
1min,2023-09-14 23:23:00,26604.0,26604.1,26604.0,26604.1,0.01847128,peak,120.0
1min,2023-09-14 23:30:00,26586.6,26586.6,26550.3,26550.4,7.35711442,valley,300.0
1min,2023-09-14 23:37:00,26536.9,26536.9,26516.5,26522.0,3.49586739,valley,180.0
1min,2023-09-14 23:38:00,26524.1,26541.5,26524.1,26541.5,3.20440201,peak,120.0
5min,2023-09-14 23:42:00,26501.0,26504.4,26498.4,26504.3,1.31662509,valley,1140.0
1min,2023-09-14 23:45:00,26515.1,26517.9,26510.3,26517.9,0.29814267,peak,300.0
1min,2023-09-14 23:45:00,26515.1,26517.9,26510.3,26517.9,0.29814267,valley,120.0
1min,2023-09-14 23:48:00,26517.2,26517.7,26514.3,26514.3,0.07470206,valley,180.0
1min,2023-09-14 23:48:00,26517.2,26517.7,26514.3,26514.3,0.07470206,peak,120.0
5min,2023-09-14 23:51:00,26526.6,26533.2,26526.6,26527.1,0.78223832,peak,660.0
1min,2023-09-14 23:52:00,26527.2,26527.2,26519.3,26519.4,0.68770846,valley,120.0
1min,2023-09-14 23:54:00,26522.1,26528.4,26516.4,26528.3,1.06927602,valley,300.0
